bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,resumen,ejemplares,disponibilidad,pasillo,estante
34,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,9.78E+12,eng,304,167,4,11/01/05,Changeling Press,Resumen de: A Changeling for All Seasons (Changeling Seasons #1),1,1,4,1
35,Changeling (Changeling  #1),Delia Sherman,3.6,670059676,9.78E+12,eng,256,978,111,8/17/2006,Viking Juvenile,Resumen de: Changeling (Changeling  #1),1,1,6,3
36,The Changeling Sea,Patricia A. McKillip,4.06,141312629,9.78E+12,eng,137,4454,302,4/14/2003,Firebird,Resumen de: The Changeling Sea,2,2,6,3
37,The Changeling,Zilpha Keatley Snyder,4.17,595321801,9.78E+12,eng,228,1176,96,06/08/04,iUniverse,Resumen de: The Changeling,3,2,10,1
38,The Changeling,Kate Horsley,3.55,1590301943,9.78E+12,eng,339,301,43,04/12/05,Shambhala,Resumen de: The Changeling,5,5,5,3
39,The Changeling (Daughters of England  #15),Philippa Carr,3.98,449146979,9.78E+12,eng,369,345,12,8/28/1990,Ivy Books,Resumen de: The Changeling (Daughters of England  #15),5,2,4,3
40,The Known World,Edward P. Jones,3.83,61159174,9.78E+12,eng,388,29686,2626,8/29/2006,Amistad,Resumen de: The Known World,3,1,10,2
41,The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,9.78E+12,en-US,14,55,12,6/15/2004,HarperAudio,Resumen de: The Known World,1,1,10,3
42,The Known World,Edward P. Jones,3.83,60749911,9.78E+12,eng,576,22,3,6/15/2004,Harper,Resumen de: The Known World,2,2,2,2
43,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745,9.78E+12,eng,334,1456,82,5/15/2006,FT Press,Resumen de: Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,2,2,1,1
44,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9.78E+12,eng,352,52,4,12/14/2005,Archaia,Resumen de: Artesia: Adventures in the Known World,5,1,7,2
45,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,374517193,9.78E+12,eng,416,562,37,06/01/82,Farrar  Straus and Giroux,Resumen de: The John McPhee Reader (John McPhee Reader  #1),2,1,7,3
46,Uncommon Carriers,John McPhee,3.95,374280398,9.78E+12,en-US,248,1630,203,5/16/2006,Farrar Straus Giroux,Resumen de: Uncommon Carriers,5,2,8,2
47,Heirs of General Practice,John McPhee,4.17,374519749,9.78E+12,eng,128,268,22,04/01/86,Farrar  Straus and Giroux,Resumen de: Heirs of General Practice,4,3,10,2
48,The Control of Nature,John McPhee,4.24,374522596,9.78E+12,en-US,288,3498,305,09/01/90,Farrar  Straus and Giroux,Resumen de: The Control of Nature,2,2,9,2
49,Annals of the Former World,John McPhee,4.34,374518734,9.78E+12,eng,720,3115,228,01/06/99,Farrar  Straus and Giroux,Resumen de: Annals of the Former World,3,3,7,1
50,Coming Into the Country,John McPhee,4.22,374522871,9.78E+12,eng,448,5704,261,04/01/91,Farrar  Straus and Giroux,Resumen de: Coming Into the Country,5,4,1,1
51,La Place de la Concorde Suisse,John McPhee,3.92,374519323,9.78E+12,fre,160,698,52,04/01/94,Farrar  Straus and Giroux,Resumen de: La Place de la Concorde Suisse,4,3,5,1
52,Giving Good Weight,John McPhee,4.23,374516006,9.78E+12,eng,288,542,36,04/01/94,Farrar  Straus and Giroux,Resumen de: Giving Good Weight,3,1,6,3
53,Rising from the Plains,John McPhee,4.23,374520658,9.78E+12,eng,208,1341,98,11/01/87,Farrar  Straus and Giroux,Resumen de: Rising from the Plains,1,1,8,1
54,The Heidi Chronicles,Wendy Wasserstein,3.75,822205106,9.78E+12,eng,81,1423,70,03/01/02,Dramatists Play Service,Resumen de: The Heidi Chronicles,3,2,10,2
55,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,679734996,9.78E+12,eng,249,2766,64,07/02/91,Vintage,Resumen de: The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,4,3,10,3
56,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9.78E+12,eng,138,31,1,3/29/2006,Routledge,Resumen de: Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,5,5,9,2
57,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,9.78E+12,en-US,128,62,4,3/14/2006,North Light Books,Resumen de: Simply Beautiful Beaded Jewelry,3,1,3,1
58,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,800793617,9.78E+12,eng,192,860,53,09/01/03,Chosen Books,Resumen de: Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,5,4,3,2
59,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,871202867,9.78E+12,en-US,108,77,2,1/28/1997,Association for Supervision & Curriculum Development,Resumen de: Mapping the Big Picture: Integrating Curriculum & Assessment K-12,2,2,1,3
60,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,753454947,9.78E+12,eng,352,153317,2257,11/15/2002,Kingfisher,Resumen de: Heidi (Heidi  #1-2),2,1,9,1
61,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,871209993,9.78E+12,eng,192,55,5,11/15/2004,ASCD,Resumen de: Getting Results with Curriculum Mapping,1,1,6,1
62,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873,9.78E+12,eng,192,34,6,4/28/2003,Sovereign World,Resumen de: There's Always Enough: The Miraculous Move of God in Mozambique,2,2,9,2
63,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,761129588,9.78E+12,eng,832,11797,659,10/16/2003,Workman Publishing Company,Resumen de: What to Expect the First Year (What to Expect),3,2,3,1
64,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,972016414,9.78E+12,eng,123,34,8,05/10/04,One Hour Entertainment,Resumen de: The Player's Handbook: The Ultimate Guide on Dating and Relationships,1,1,6,2
65,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,9.78E+12,en-US,128,78,4,8/19/2004,North Light Books,Resumen de: Simply Beautiful Beading: 53 Quick and Easy Projects,2,1,2,1
66,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,441294677,9.78E+12,eng,423,2785,166,6/15/1987,Ace Books,Resumen de: God Emperor of Dune (Dune Chronicles  #4),3,1,2,1
67,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,441102670,9.78E+12,eng,436,38778,568,07/01/87,Ace Books,Resumen de: Chapterhouse: Dune (Dune Chronicles #6),4,1,3,2
68,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,441172695,9.78E+12,eng,331,97494,2359,7/15/1987,Ace Books,Resumen de: Dune Messiah (Dune Chronicles #2),1,1,9,1
69,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,765306476,9.78E+12,en-US,592,784,21,07/01/04,Tor Books,Resumen de: Dreamer of Dune: The Biography of Frank Herbert,5,1,7,2
70,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,399128980,9.78E+12,eng,480,272,20,4/16/1984,Putnam,Resumen de: Heretics of Dune (Dune Chronicles  #5),3,2,8,3
71,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,765353709,9.78E+12,eng,426,4789,83,8/29/2006,Tor Science Fiction,Resumen de: The Road to Dune,1,1,3,1
72,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,441328008,9.78E+12,eng,471,45388,644,8/15/1987,Ace Books,Resumen de: Heretics of Dune (Dune Chronicles #5),5,2,7,2
73,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,618212906,9.78E+12,eng,192,26153,102,06/12/02,Houghton Mifflin Harcourt,Resumen de: The Lord of the Rings: The Art of the Fellowship of the Ring,1,1,10,2
74,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9.78E+12,eng,544,69167,4551,9/29/1996,Ballantine Books,Resumen de: The Power of One (The Power of One  #1),2,2,3,1
75,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,385732546,9.78E+12,eng,291,45,13,9/13/2005,Delacorte Books for Young Readers,Resumen de: The Power of One (The Power of One  #1),1,1,10,2
76,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,785260056,9.78E+12,en-US,256,16,1,11/01/04,Thomas Nelson,Resumen de: The Power of One: One Person  One Rule  One Month,5,5,7,1
77,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,471780936,9.78E+12,eng,205,174,16,5/19/2006,Wiley,Resumen de: Power of an Hour: Business and Life Mastery in One Hour a Week,3,2,8,1
78,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,325001537,9.78E+12,eng,240,10,0,02/07/00,Heinemann Drama,Resumen de: The Power of One: The Solo Play for Playwrights  Actors  and Directors,2,1,3,2
79,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,9.78E+12,eng,336,76,9,05/03/05,William Morrow Paperbacks,Resumen de: How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,3,3,5,3
80,eBay for Dummies,Marsha Collier,3.5,470045299,9.78E+12,eng,386,111,9,10/30/2006,Wiley,Resumen de: eBay for Dummies,1,1,6,3
81,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,72262788,9.78E+12,eng,260,24,0,1/24/2006,McGraw-Hill,Resumen de: What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,3,2,3,2
82,Starting an eBay Business for Dummies,Marsha Collier,3.55,764569244,9.78E+12,eng,384,55,4,9/17/2004,Wiley,Resumen de: Starting an eBay Business for Dummies,4,3,6,3
83,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,471933821,9.78E+12,eng,260,9,0,06/06/06,Wiley,Resumen de: eBay: Top 100 Simplified Tips & Tricks,1,1,3,2
84,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,764559915,9.78E+12,en-US,391,22,1,5/31/2004,Wiley,Resumen de: ebay Timesaving Techniques for Dummies,4,4,1,1
85,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,764584383,9.78E+12,en-US,864,17,3,4/25/2005,Wiley,Resumen de: eBay Business All-in-One Desk Reference for Dummies,4,3,8,3
86,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,596523696,9.78E+12,eng,873,166,4,7/29/2006,O'Reilly Media,Resumen de: Ruby Cookbook,3,3,1,3
87,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,806523492,9.78E+12,eng,240,50,5,05/03/05,Citadel,Resumen de: Ruby Ann's Down Home Trailer Park Cookbook,1,1,9,3
88,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,806525363,9.78E+12,eng,206,13,2,05/03/05,Citadel,Resumen de: Ruby Ann's Down Home Trailer Park BBQin' Cookbook,3,2,9,2
89,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,596527314,9.78E+12,eng,514,64,1,01/01/07,O'Reilly Media,Resumen de: Rails Cookbook: Recipes for Rapid Web Development with Ruby,2,2,7,2
90,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,143035002,9.78E+12,eng,838,16643,1851,5/31/2004,Penguin Classics,Resumen de: Anna Karenina,1,1,9,1
91,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,451528611,9.78E+12,eng,960,109420,5696,11/05/02,Signet,Resumen de: Anna Karenina,2,1,8,1
92,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,140449175,9.78E+12,eng,837,2904,309,1/30/2003,Penguin Books,Resumen de: Anna Karenina,1,1,6,1
93,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,822001837,9.78E+12,eng,80,16,3,11/26/1965,Cliffs Notes,Resumen de: CliffsNotes on Tolstoy's Anna Karenina,1,1,1,2
94,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,9.78E+12,eng,803,9564,726,07/01/03,Barnes & Noble Classics,Resumen de: Anna Karenina,3,3,1,1
95,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,486437965,9.78E+12,eng,752,474,72,11/23/2004,Dover Publications,Resumen de: Anna Karenina,2,1,2,3
96,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,9.78E+12,eng,803,303,48,8/26/2004,Barnes & Noble,Resumen de: Anna Karenina,4,4,1,1
97,Dinner with Anna Karenina,Gloria Goldreich,2.99,778322270,9.78E+12,eng,360,411,65,1/28/2006,Mira Books,Resumen de: Dinner with Anna Karenina,3,3,5,1
98,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,521313252,9.78E+12,eng,128,1204,33,11/26/1987,Cambridge University Press,Resumen de: Tolstoy: Anna Karenina,3,1,2,1
99,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,140183957,9.78E+12,eng,160,3429,279,07/03/90,Penguin Books,Resumen de: Untouchable,1,1,7,2
100,The Untouchable,John Banville,3.95,679767479,9.78E+12,eng,367,2163,216,6/30/1998,Vintage,Resumen de: The Untouchable,5,5,1,2
101,The Untouchables,Eliot Ness/Oscar Fraley,3.89,1568491980,9.78E+12,eng,256,613,31,02/01/96,Buccaneer Books,Resumen de: The Untouchables,1,1,3,3
102,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,743270797,9.78E+12,en-US,320,308,40,9/27/2005,Scribner,Resumen de: Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,3,1,2,2
103,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,932863051,9.78E+12,eng,100,10,0,1/28/1995,Clarity Press,Resumen de: Dalit: The Black Untaouchables of India,1,1,8,2
104,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,742508803,9.78E+12,eng,224,16,4,12/20/2000,Rowman & Littlefield Publishers,Resumen de: Growing Up Untouchable in India: A Dalit Autobiography,3,3,1,3
105,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,205358624,9.78E+12,eng,216,10,0,9/22/2003,Pearson,Resumen de: The Evidence-Based Social Work Skills Book,4,2,2,3
106,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4,1557344035,9.78E+12,eng,48,17,0,9/28/1991,Teacher Created Resources,"Resumen de: A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",2,2,4,3
107,Wrinkles in Time,George Smoot/Keay Davidson,4.01,380720442,9.78E+12,eng,360,1035,23,10/01/94,Harper Perennial,Resumen de: Wrinkles in Time,5,2,2,1
108,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4,821925326,9.78E+12,eng,250,36,6,05/01/02,EMC/Paradigm Publishing,Resumen de: A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),4,2,4,3
109,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,043927169X,9.78E+12,eng,32,15,0,01/01/02,Teaching Resources,Resumen de: Literature Circle Guide: A Wrinkle in Time,3,3,2,3
110,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4,606105263,9.78E+12,spa,205,6,1,06/01/84,Turtleback Books,Resumen de: Una arruga en el tiempo – A Wrinkle in Time,3,3,8,1
111,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,751506435,9.78E+12,eng,367,376,17,06/01/94,Little  Brown Book Group,Resumen de: The Long Shadow (The Morland Dynasty  #6),3,1,6,2
112,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,9.78E+12,eng,352,3086,237,01/03/06,William Morrow,Resumen de: A Long Shadow (Inspector Ian Rutledge  #8),1,1,5,3
113,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,743499344,9.78E+12,en-US,320,352,44,11/01/05,Atria Books,Resumen de: Long Way Round: Chasing Shadows Across the World,4,1,2,1
114,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,765313405,9.78E+12,eng,331,9852,633,03/07/06,Tor Books,Resumen de: A Shadow in Summer (Long Price Quartet  #1),3,2,1,2
115,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,1400032490,9.78E+12,eng,244,821,78,08/10/04,Vintage Crime/Black Lizard,Resumen de: New Hope for the Dead (Hoke Mosely #2),2,1,10,3
116,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,1400032482,9.78E+12,eng,215,731,72,03/08/05,Vintage Crime/Black Lizard,Resumen de: Sideswipe: A Hoke Moseley Novel,2,1,5,3
117,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,1400032466,9.78E+12,eng,191,2897,178,08/10/04,Vintage Crime/Black Lizard,Resumen de: Miami Blues (Hoke Moseley #1),3,1,5,1
118,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,679732527,9.78E+12,eng,144,98,11,10/03/90,Vintage,Resumen de: The Burnt Orange Heresy (Vintage Crime/Black Lizard),5,4,5,2
119,I am Charlotte Simmons,Tom Wolfe,3.42,312424442,9.78E+12,eng,738,20888,1688,8/30/2005,Picador USA,Resumen de: I am Charlotte Simmons,1,1,3,1
120,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,806930772,9.78E+12,eng,48,66,19,10/01/01,Sterling,Resumen de: Poetry for Young People: Edward Lear,1,1,6,1
121,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,140366601,9.78E+12,eng,287,81,6,10/03/96,Puffin,Resumen de: The Puffin Book of Nonsense Verse,4,1,9,2
122,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,811201120,9.78E+12,eng,217,981,52,02/01/64,New Directions Publishing,Resumen de: Henry Miller on Writing,4,2,6,1
123,Quiet Days in Clichy,Henry Miller,3.69,080213016X,9.78E+12,eng,154,3381,141,1/13/1994,Grove Press,Resumen de: Quiet Days in Clichy,4,3,3,3
124,Tropic of Cancer,Henry Miller/Jiří Níl,3.68,802131786,9.78E+12,eng,318,53206,2376,01/06/94,Grove Press,Resumen de: Tropic of Cancer,1,1,10,2
